날짜,종가,전일비,시가,고가,저가,거래량
2022-06-20,58700,1100,59800,59900,58100,34111306
2022-06-21,58500,200,58700,59200,58200,25148109
2022-06-22,57600,900,59000,59100,57600,23334687
2022-06-23,57400,200,57700,58000,56800,28338608
2022-06-24,58400,1000,57900,59100,57700,23256103
2022-06-27,58800,400,59000,59900,58300,18122236
2022-06-28,59400,600,59200,59500,58700,13540538
2022-06-29,58000,1400,58500,58800,58000,14677138
2022-06-30,57000,1000,57200,57600,57000,18915142
2022-07-01,56200,800,56900,57500,55900,24613445
